Abhish;title$ffworkbench$framework$defaultMainframeTitle;Workbench FORCAM FORCE™
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFSenderPartnerType;IDOC Feld "SNDPRT"
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFSenderPartnerNumber;IDOC Feld "SNDPRN"
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFReceiverPort;IDOC Feld "RCVPOR"
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFReceiverPartnerType;IDOC Feld "RCVPRN"
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFReceiverPartnerNumber;IDOC Feld "RCVPRN"
1;msg$ffworkbench$cfgDocumentation$SAPUploadNotificationIFIDOCFrameTemplate;IDOC Xml Vorlage mit Platzhaltern, die zur Laufzeit mit Werten ersetzt werden.
1;msg$ffworkbench$cfgDocumentation$SAPUploadSerializeIF;Parameter der SAP SOAP Schnittstelle zum Synchronisieren der Kanal- und Zählernummern.
1;msg$ffworkbench$cfgDocumentation$SAPUploadSerializeIFUrl;Vollständige URL der Serialisierungs-Schnittstelle. Nur relevant bei AVO bezogenen Rückmeldungen.
1;msg$ffworkbench$cfgDocumentation$SAPUploadSerializeIFSoapRequestTemplate;Xml Vorlage des SOAP Request mit Platzhaltern für Kanalnummer Grenzen.
1;lbl$ffworkbench$cfgName$SAPRecordTypeOPSTR;OPSTR
1;lbl$ffworkbench$cfgName$SAPRecordTypeOPEND;OPEND
1;lbl$ffworkbench$cfgName$SAPRecordTypeOPRES;OPRES
1;lbl$ffworkbench$cfgName$SAPRecordTypeQTYMG;QTYMG
1;lbl$ffworkbench$cfgName$SAPRecordTypeDURAT;DURAT
1;lbl$ffworkbench$cfgName$SAPRecordTypeKEYFG;KEYFG
1;lbl$ffworkbench$cfgName$SAPRecordTypeREVMG;REVMG
1;lbl$ffworkbench$cfgName$SAPRecordTypeDRWBK;DRWBK
1;lbl$ffworkbench$cfgName$SAPRecordTypeSPSBC;SPSBC
1;lbl$ffworkbench$cfgName$SAPRecordTypeMTREQ;MTREQ
1;lbl$ffworkbench$cfgName$SAPRecordTypeMTSTA;MTSTA
1;lbl$ffworkbench$cfgName$SAPRecordTypeMTFIN;MTFIN
1;lbl$ffworkbench$cfgName$SAPDownload; SAP Download
1;lbl$ffworkbench$cfgName$SAPDownloadxslFiles;XSL Transformations Vorlagen
1;lbl$ffworkbench$cfgName$SAPDownloadxslFilesorder;Aufträge
1;lbl$ffworkbench$cfgName$SAPDownloadxslFilesshift;Schichten
1;lbl$ffworkbench$cfgName$SAPDownloadxslFilesperson;Personal
1;lbl$ffworkbench$cfgName$SAPFilter;SAP-Filter
1;lbl$ffworkbench$cfgDocumentation$SAPFilter;SAP-Filter beim SAP-Download
1;lbl$ffworkbench$cfgName$SAPFilterUnusedTABGOperations;Ungenutzte abgeschlossene AVOs
1;lbl$ffworkbench$cfgDocumentation$SAPFilterUnusedTABGOperations;Ungenutzte abgeschlossene AVOs (TABG)
1;lbl$ffworkbench$cfgName$SAPFilterUnusedTABGOperationsPeriodDays;Tage
1;lbl$ffworkbench$cfgDocumentation$SAPFilterUnusedTABGOperationsPeriodDays;Zeitraum in Tagen innerhalb dessen nicht genutzte AVOs, die mit TABG abgeschlossen sind, wieder geöffnet werden dürfen.
1;lbl$ffworkbench$cfgName$SAPFilterResetTABGOperations;Rücknahme TABG/ABGS
1;lbl$ffworkbench$cfgDocumentation$SAPFilterResetTABGOperations;Rücknahme TABG/ABGS
1;lbl$ffworkbench$cfgName$SAPFilterResetTABGOperationsPeriodDays;Tage
1;lbl$ffworkbench$cfgDocumentation$SAPFilterResetTABGOperationsPeriodDays;Zeitraum in Tagen innerhalb dessen ein TABG/ABGS zurückgenommen werden kann.
1;lbl$ffworkbench$cfgName$SAPObjectQuery;SAP Objekt-Abfrage
1;lbl$ffworkbench$cfgDocumentation$SAPObjectQuery;Kommunikationszugang zum Abfragen von SAP Objekt-Attributen.
1;lbl$ffworkbench$cfgName$SAPObjectQueryInterface;Schnittstelle zur Objekt-Abfrage
1;lbl$ffworkbench$cfgName$SAPObjectQueryInterfaceUrl;Objekt-Abfrage URL
1;lbl$ffworkbench$cfgDocumentation$SAPObjectQueryInterfaceUrl;Vollständige URL der Objekt-Abfrage Schnittstelle.
1;lbl$ffworkbench$cfgName$Caches;Caches
1;lbl$ffworkbench$cfgName$CachesSize;Cache-Größen
1;lbl$ffworkbench$cfgName$CachesSizeEventStreamCache;Ereignis-Cache (MB)
1;lbl$ffworkbench$cfgName$CachesSizeWorkplaceBaseCache;Arbeitsplatz-Intervall-Cache (MB)
1;lbl$ffworkbench$cfgName$CachesSizeOperationBaseCache;AVO-Intervall-Cache (MB)
1;lbl$ffworkbench$cfgName$CachesSizeMachineStatusTLECache;Maschinen-Status-Historien-Cache (MB)
1;msg$ffworkbench$cfgDocumentation$CachesSizeEventStreamCache;Setzt die Größe des Ereignis-Caches (wird für Korrekturen jeder Art benötigt).
1;msg$ffworkbench$cfgDocumentation$CachesSizeWorkplaceBaseCache;Setzt die Größe des Caches der Arbeitsplatz-Basis-Historie (wird benötigt für Korrekturen an den Reporting-Basis-Tabellen).
1;msg$ffworkbench$cfgDocumentation$CachesSizeOperationBaseCache;Setzt die Größe des Caches der AVO-Basis-Historie (wird benötigt für Korrekturen an den AVO-Basis-Tabellen).
1;msg$ffworkbench$cfgDocumentation$CachesSizeMachineStatusTLECache;Setzt die Größe des Caches der Maschinen-Status-Historie (wird benötigt für die Umkodierung von Störungen).
1;lbl$ffworkbench$cfgName$Authentification;Authentifizierung
1;lbl$ffworkbench$cfgName$AuthentificationMode;Modus
1;lbl$ffworkbench$cfgDocumentation$AuthentificationMode;Legt die Art der Authentifizierung am System fest. Möglich ist eine Anmeldung mit lokaler Anmeldemaske oder externe Authentifizierung via SSO (keine Anmeldemaske).
1;lbl$ffworkbench$cfgName$AuthentificationModeLocal;Lokale Anmeldemaske
1;lbl$ffworkbench$cfgName$AuthentificationModeRemoteUser;Authentifizierung via "Remote User" (SSO)
1;lbl$ffworkbench$cfgName$AuthentificationConvertExternalUserIdToUppercase;Logonname in Großbuchstaben
1;lbl$ffworkbench$cfgDocumentation$AuthentificationConvertExternalUserIdToUppercase;Der externe Logonname wird zur lokalen Verarbeitung in Großbuchstaben konvertiert (Kompatibilität).
1;lbl$ffworkbench$cfgName$Archiving;Archivierung
1;lbl$ffworkbench$cfgName$ArchivingDoArchivePoints;Archiv-Punkte
1;lbl$ffworkbench$cfgName$ArchivingArchivePointsCronExpression;Cron-Ausdruck
1;lbl$ffworkbench$cfgName$ArchivingDoArchiving;Archivieren
1;lbl$ffworkbench$cfgName$ArchivingStart;Start der Archivierung
1;lbl$ffworkbench$cfgName$ArchivingEnd;Ende der Archivierung
1;lbl$ffworkbench$cfgName$ArchivingCronExpression;Cron-Ausdruck
1;lbl$ffworkbench$cfgName$ArchivingCorrectionWindow;Korrektur-Fenster
1;lbl$ffworkbench$cfgName$ArchivingDoDataGarbageCollecting;Datenbereinigung
1;lbl$ffworkbench$cfgName$ArchivingDataGarbageCollectingCronExpression;Cron-Ausdruck
1;lbl$ffworkbench$cfgName$ArchivingDataGarbageCollectingWindow;Datenbereinigungs-Fenster (in Tagen)
1;msg$ffworkbench$cfgDocumentation$ArchivingDoArchivePoints;Setzen von Archivierungs-Punkten aktivieren
1;msg$ffworkbench$cfgDocumentation$ArchivingArchivePointsCronExpression;Cron-Ausdruck wann ein Archivierungs-Punkt gesetzt werden soll
1;msg$ffworkbench$cfgDocumentation$ArchivingDoArchiving;Archivierung aktivieren
1;msg$ffworkbench$cfgDocumentation$ArchivingStart;Start der Archivierungs-Service
1;msg$ffworkbench$cfgDocumentation$ArchivingEnd;Ende des Archivierungs-Service
1;msg$ffworkbench$cfgDocumentation$ArchivingCronExpression;Cron-Ausdruck wann ein Archivierung durchgeführt werden soll
1;msg$ffworkbench$cfgDocumentation$ArchivingCorrectionWindow;Korrektur-Zeitfenster
1;msg$ffworkbench$cfgDocumentation$ArchivingDoDataGarbageCollecting;Datenbereinigung aktivieren
1;msg$ffworkbench$cfgDocumentation$ArchivingDataGarbageCollectingCronExpression;Cron-Ausdruck wann eine Datenbereinigung durchgeführt werden soll
1;msg$ffworkbench$cfgDocumentation$ArchivingDataGarbageCollectingWindow;Datenbereinigung-Zeitfenster (Bereinigung von Daten älter als gegebene Tage seit Erstellung)
1;lbl$ffworkbench$cfgName$ServerEvent;Objekt Aktualisierung
1;lbl$ffworkbench$cfgName$ServerEventFFRuntime;Event Quelle
1;lbl$ffworkbench$cfgName$ServerEventFFRuntimeAdaptivePeakBuffer;Adaptiver Event-Puffer
1;lbl$ffworkbench$cfgName$ServerEventFFRuntimeAdaptivePeakBufferMinBufferDelay;Minimale Pufferzeit (ms)
1;lbl$ffworkbench$cfgName$ServerEventFFRuntimeAdaptivePeakBufferMaxBufferDelay;Maximale Pufferzeit (ms)
1;lbl$ffworkbench$cfgName$ServerEventFFRuntimeAdaptivePeakBufferWindowSize;Fenstergröße für Events
1;lbl$ffworkbench$cfgName$ServerEventFFWorker;Event Konsument (Terminal)
1;lbl$ffworkbench$cfgName$ServerEventFFWorkerPeakBuffer;Event-Puffer
1;lbl$ffworkbench$cfgName$ServerEventFFWorkerPeakBufferBufferDelay;Pufferzeit (ms)
1;msg$ffworkbench$cfgDocumentation$ServerEvent;Benachrichtigung über Objekt Änderungen durch Server Events.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFRuntime;Auslöser der Server Events (FFRuntime)
1;msg$ffworkbench$cfgDocumentation$ServerEventFFRuntimeAdaptivePeakBuffer;Puffer mit Pufferzeiten, die auto. lastabhängig angepasst werden.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFRuntimeAdaptivePeakBufferMinBufferDelay;Minimale Pufferzeit (bei geringer Event Häufigkeit), während der identische bzw. sich wiederholende Events herausgefiltert werden.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFRuntimeAdaptivePeakBufferMaxBufferDelay;Maximale Pufferzeit (bei großer Event Häufigkeit), während der identische bzw. sich wiederholende Events herausgefiltert werden.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFRuntimeAdaptivePeakBufferWindowSize;Anzahl der Event Einträge zur Ermittlung der durchschnittlichen Häufigkeit.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFWorker;Empfänger der Server Events (Terminal)
1;msg$ffworkbench$cfgDocumentation$ServerEventFFWorkerPeakBuffer;Puffer mit fixer Pufferzeit.
1;msg$ffworkbench$cfgDocumentation$ServerEventFFWorkerPeakBufferBufferDelay;Pufferzeit während der identische bzw. sich wiederholende Events herausgefiltert werden.
1;lbl$ffworkbench$cfgName$Logging;Logging
1;lbl$ffworkbench$cfgDocumentation$Logging;Allgemeine Einstellungen zum Logging
1;lbl$ffworkbench$cfgName$MaterialTEB;Material-TEB
1;lbl$ffworkbench$cfgName$MaterialTEBWildcardExpanding;Wildcard-Expanding
1;lbl$ffworkbench$cfgDocumentation$MaterialTEB;Einstellungen für die Material-TEB
1;lbl$ffworkbench$cfgDocumentation$MaterialTEBWildcardExpanding;Soll ein Wildcard-Expanding für neu angelegte Materialen durchgeführt werden?
1;lbl$ffworkbench$cfgName$ControlKey;SAP-Steuerschlüssel
1;lbl$ffworkbench$cfgName$ControlKeySendCommand;Änderungs-Kommando versenden
1;lbl$ffworkbench$cfgDocumentation$ControlKey;SAP-Steuerschlüssel
1;lbl$ffworkbench$cfgDocumentation$ControlKeySendCommand;Soll ein Änderungs-Kommando bei dem Erhalt eines SAP-Steuerschlüssels verschickt werden?
1;lbl$ffworkbench$cfgName$clientConfiguration;Client-Konfiguration
1;lbl$ffworkbench$cfgName$clientConfigPaths;Pfade
1;lbl$ffworkbench$cfgName$localWindowsClientPath;Basis-Verzeichnis auf dem Client
1;msg$ffworkbench$cfgDocumentation$localWindowsClientPath;Hiermit wird der Basispfad für Dateioperationen auf dem Client konfiguriert. Da dieser Pfad für alle Clients gleich ist, muss sichergestellt sein, dass der Pfad auf jedem Client-Rechner existiert.
1;lbl$ffworkbench$cfgName$serviceConfigFFTracing;FFTracing
1;lbl$ffworkbench$cfgName$useRemoteTimeStampService;Nutzung des Remotezeitservice aktivieren
1;msg$ffworkbench$cfgDocumentation$useRemoteTimeStampService;Hiermit wird konfiguriert, ob der RemoteTimeStampService der FFRuntime genutzt werden soll, oder ein lokaler ZeitService verwendet wird..
1;lbl$ffworkbench$cfgName$sapMesWorkplaceDistribution;Verteilung SAP-/MES-Arbeitsplätze
1;lbl$ffworkbench$cfgDocumentation$sapMesWorkplaceDistribution;Einstellungen zur automatischen Verteilung SAP-/MES-Arbeitsplätze.
1;lbl$ffworkbench$cfgName$sapMesWorkplaceDistributionActive;Automatische Verteilung SAP-/MES-Arbeitsplätze aktiv
1;lbl$ffworkbench$cfgDocumentation$sapMesWorkplaceDistributionActive;Aktivieren der automatischen Verteilung SAP-/MES-Arbeitsplätze.
1;lbl$ffworkbench$cfgName$sapTargetWorkgroupMapping;SAP-APL -> SAP-Hierarchie
1;lbl$ffworkbench$cfgDocumentation$sapTargetWorkgroupMapping;Einstellung zum automatischen Mappen von einem SAP-APL auf die SAP-Hierarchie.
1;lbl$ffworkbench$cfgName$sapTargetWorkgroupMappingActive;Automatisches Mapping aktiv
1;lbl$ffworkbench$cfgDocumentation$sapTargetWorkgroupMappingActive;Aktivieren des automatischen Mapping von SAP-APL auf die SAP-Hierarchie.
1;lbl$ffworkbench$cfgName$externalTracingDataPoller;LRK - Tracing-Daten-Polling
1;lbl$ffworkbench$cfgDocumentation$externalTracingDataPoller;LRK - Einstellung für das Tracing-Daten-Polling
1;lbl$ffworkbench$cfgName$externalTracingDataPollerActive;LRK - Polling aktiv
1;lbl$ffworkbench$cfgDocumentation$externalTracingDataPollerActive;LRK - Aktivieren des Tracing-Daten-Polling
1;lbl$ffworkbench$cfgName$externalTracingDataPollerPollingInterval;LRK - Polling-Intervall (sec)
1;lbl$ffworkbench$cfgDocumentation$externalTracingDataPollerPollingInterval;LRK - Polling-Interval in Sekunden
1;lbl$ffworkbench$cfgName$externalTracingDataPollerSchedulingInterval;LRK - Polling-Scheduler-Intervall (sec)
1;lbl$ffworkbench$cfgDocumentation$externalTracingDataPollerSchedulingInterval;LRK - Polling-Scheduler-Interval in Sekunden
1;lbl$ffworkbench$cfgName$externalTracingDataPollerMaxRecords;LRK - Max. Anzahl Datensätze
1;lbl$ffworkbench$cfgDocumentation$externalTracingDataPollerMaxRecords;LRK - Maximale Anzahl der Datensätze die innerhalb eines Aufrufs des Tracing-Daten-Pollers verarbeitet werden soll.
1;lbl$ffworkbench$cfgName$exchangeTracingDataPoller;Tracing-Exchange-Daten-Poller
1;lbl$ffworkbench$cfgDocumentation$exchangeTracingDataPoller;Einstellung für das Tracing-Exchange-Daten-Polling
1;lbl$ffworkbench$cfgName$exchangeTracingDataPollerActive;Polling Aktiv
1;lbl$ffworkbench$cfgDocumentation$exchangeTracingDataPollerActive;Ist das Polling aktiv?
1;lbl$ffworkbench$cfgName$exchangeTracingDataPollerPollingInterval;Polling-Intervall (sec)
1;lbl$ffworkbench$cfgDocumentation$exchangeTracingDataPollerPollingInterval;Polling-Interval in Sekunden
1;lbl$ffworkbench$cfgName$exchangeTracingDataPollerMaxRecords;Max. Anzahl Datensätze
1;lbl$ffworkbench$cfgDocumentation$exchangeTracingDataPollerMaxRecords;Maximale Anzahl der Datensätze die innerhalb eines Aufrufs des Tracing-Daten-Pollers verarbeitet werden soll.
1;lbl$ffworkbench$cfgName$maxTracingTreeLevel;Maximale Ebenenanzahl
1;msg$ffworkbench$cfgDocumentation$maxTracingTreeLevel;Maximale Anzahl der Ebenen, die im Baum angezeigt werden
1;lbl$ffworkbench$cfgName$nonworkingShiftGenerationTask;Freischichtgenerierung
1;lbl$ffworkbench$cfgDocumentation$nonworkingShiftGenerationTask;Einstellung für die Freischichtgenerierung
1;lbl$ffworkbench$cfgName$nonworkingShiftGenerationActive;Freischichtgenerierung aktiv
1;lbl$ffworkbench$cfgDocumentation$nonworkingShiftGenerationActive;Aktivieren der Freischichtgenerierung
1;lbl$ffworkbench$cfgName$nonworkingShiftGenerationDayCount;Tage
1;lbl$ffworkbench$cfgDocumentation$nonworkingShiftGenerationDayCount;Anzahl der Tage für die Freischichten generiert werden sollen
1;lbl$ffworkbench$cfgName$ShiftGenerationTask;Schichtgenerierung
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationTask;Einstellungen für die Schichtgenerierung
1;lbl$ffworkbench$cfgName$ShiftGenerationDayCount;Tage
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationDayCount;Zeitraum in dem Schichten generiert werden sollen
1;lbl$ffworkbench$cfgName$ShiftGenerationTimeZone;Zeitzone
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationTimeZone;Identifikation der Zeitzone in der die Schichten generiert werden sollen (Bsp.: "CET", "Europe/Berlin", "GMT+1:00")
1;lbl$ffworkbench$cfgName$ShiftGenerationStartHorizon;Start-Horizont (min)
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationStartHorizon;Zeitlicher Abstand in Minuten ab dem die Schichtgenerierung beginnen soll
1;lbl$ffworkbench$cfgName$ShiftGenerationTimeCronExpression;Generierungsrhythmus
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationTimeCronExpression;Cron-Ausdruck in welchem Rhythmus Schichten generiert werden sollen
1;lbl$ffworkbench$cfgName$ShiftGenerationTimeout;Timeout
1;lbl$ffworkbench$cfgDocumentation$ShiftGenerationTimeout;Zeitdauer in Millisekunden solange nach Versenden der generierten Schicht auf eine positive Rückmeldung von der FFRuntime gewartet wird
1;lbl$ffworkbench$cfgName$DatabaseConnection;Datenbankverbindungen
1;lbl$ffworkbench$cfgDocumentation$DatabaseConnection;Einstellungen für die Datenbankverbindungen
1;lbl$ffworkbench$cfgName$DatabaseConnectionConnectionTimeout;Verbindungs-Timeout
1;lbl$ffworkbench$cfgDocumentation$DatabaseConnectionConnectionTimeout;Zeitdauer in Millisekunden solange versucht werden soll eine Datenbankverbindung zu bekommen
1;lbl$ffworkbench$cfgName$DatabaseConnectionNumberOfRetrys;Anzahl der Versuche
1;lbl$ffworkbench$cfgDocumentation$DatabaseConnectionNumberOfRetrys;Anzahl der Versuche eine Datenverbindung zu erlangen
1;lbl$ffworkbench$cfgName$DatabaseConnectionRetryDelay;Zeitverzögerung erneuter Versuche
1;lbl$ffworkbench$cfgDocumentation$DatabaseConnectionRetryDelay;Zeitlicher Abstand in Millisekunden zwischen den einzelnen Versuchen eine Datenbankverbindung zu erlangen
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfiguration;Navigator allgemein
1;lbl$ffworkbench$cfgDocumentation$NavigatorGeneralConfiguration;Allgemeine Konfigurationen des Navigators.
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfigurationFunctionArea;Bereich der Funktions-Auswahl
1;lbl$ffworkbench$cfgDocumentation$NavigatorGeneralConfigurationFunctionArea;Konfigurationen die den Auswahlbereich für Funktionen betreffen.
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfigurationFunctionAreaInitialPined;Initial fixiert
1;lbl$ffworkbench$cfgDocumentation$NavigatorGeneralConfigurationFunctionAreaInitialPined;Ist der Auswahlbereich für Funktionen stets sichtbar oder kollabiert er automatisch nach Wahl einer Funktion?
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfigurationFunctionAreaInitialWidth;Initiale Breite (Pixel)
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfigurationWebVisu;Web-Visualisierungen
1;lbl$ffworkbench$cfgDocumentation$NavigatorGeneralConfigurationWebVisu;Einstellungen zur Anzeige von Web-Visualisierungen.
1;lbl$ffworkbench$cfgName$NavigatorGeneralConfigurationWebVisuLegacyWebVisuProviderUrl;URL der Web-Visu Engine
1;lbl$ffworkbench$cfgDocumentation$NavigatorGeneralConfigurationWebVisuLegacyWebVisuProviderUrl;Die URL mit Host:Port zum Abrufen von Web-Visualisierungen. Üblicherweise ist dies der FFOffice bsplw. mit 'http://localhost:12080/ffoffice/servlet/StartCasabacPage?PAGEURL='
1;lbl$ffworkbench$cfgName$fdmPacketStatusColorLockedBG;Farbe Paketstatus 'Gesperrt'
1;lbl$ffworkbench$cfgName$fdmPacketStatusColorReleasedBG;Farbe Paketstatus 'Freigegeben'
1;lbl$ffworkbench$cfgName$fdmElementCheckoutColorBG;Farbe ausgecheckte Elemente
1;lbl$ffworkbench$cfgName$fdmElementStatusColorLockedBG;Farbe Elementstatus 'Gesperrt'
1;lbl$ffworkbench$cfgName$fdmElementStatusColorInProgressBG;Farbe Elementstatus 'In Arbeit'
1;lbl$ffworkbench$cfgName$fdmElementStatusColorReleasedBG;Farbe Elementstatus 'Freigegeben'
1;lbl$ffworkbench$cfgName$fdmElementStatusColorNewBG;Farbe Elementstatus 'Neu'
1;lbl$ffworkbench$cfgName$fdmExportPath;Exportpfad für Programmoperationen (relativ zum Client-Basisverzeichnis)
1;lbl$ffworkbench$cfgName$fdmElementExportPath;Element-Exportpfad (relativ zum Client-Basisverzeichnis)
1;lbl$ffworkbench$cfgName$fdmElementImportPath;Element-Importpfad (relativ zum Client-Basisverzeichnis)
1;lbl$ffworkbench$cfgName$fdmElementCheckinPath;Element-Checkinpfad (relativ zum Client-Basisverzeichnis)
1;lbl$ffworkbench$cfgName$fdmElementCheckoutPath;Element-Checkoutpfad (relativ zum Client-Basisverzeichnis)
1;lbl$ffworkbench$cfgName$fdmDiffProgram;Vergleich-Programm
1;lbl$ffworkbench$cfgName$fdmUseExternalCompare;Externes Vergleichsprogramm verwenden?
1;lbl$ffworkbench$cfgName$fdmDiffProgramPath;Pfad zum Vergleich-Programm
1;lbl$ffworkbench$cfgName$fdmDiffProgramWorkingDir;Arbeitsverzeichnis
1;lbl$ffworkbench$cfgName$fdmDiffProgramArguments;Aufrufparameter
1;lbl$ffworkbench$cfgName$fdmPPProgram;Postprocessor-Programm
1;lbl$ffworkbench$cfgName$fdmPPProgramPath;Pfad zum Postprocessor-Programm
1;lbl$ffworkbench$cfgName$fdmPPProgramWorkingDir;Arbeitsverzeichnis
1;lbl$ffworkbench$cfgName$fdmPPProgramArguments;Aufrufparameter
1;lbl$ffworkbench$cfgName$fdmInitialPacketStatus;Paket Status beim manuellen Anlegen
1;lbl$ffworkbench$cfgName$fdmInitialElementStatus;Element Status beim manuellen Anlegen
1;lbl$ffworkbench$cfgName$fdmInitialElementArt;Element Art beim manuellen Anlegen
1;lbl$ffworkbench$cfgName$fdmImportElementArt;Element Art beim Element-Import
1;lbl$ffworkbench$cfgName$fdmElementCheckinStatus;Element Status beim Einchecken
1;lbl$ffworkbench$cfgName$fdmElementOpttransStatus;Element Status bei der OPT-Programm Wandlung
1;lbl$ffworkbench$cfgName$fdmSourceStateTransition;Element-Art-Liste abhängig von aktueller Art
1;lbl$ffworkbench$cfgName$fdmCheckoutOnElementAction;Elemente bei Dateiaktionen auschecken
1;lbl$ffworkbench$cfgName$fdmMaxElementSize;Maximale Elementgröße beim Import in KB
1;lbl$ffworkbench$cfgName$fdmAllowedFileExtensions;Zulässige Dateiendungen beim Anlegen/Import
1;lbl$ffworkbench$cfgName$fdmElementSortCaseSensitive;Groß/Kleinschreibung bei der Sortierung der Dateinamen beachten
1;lbl$ffworkbench$cfgName$fdmLockOldElementVersions;Sperren aller Element-Versionen, wenn ein Element freigegeben wird
1;lbl$ffworkbench$cfgName$fdmLockElementDataStatusFrei;Element-Daten sperren im Status 'Freigegeben'
1;lbl$ffworkbench$cfgName$fdmLockElementDataStatusGesp;Element-Daten sperren im Status 'Gesperrt'
1;lbl$ffworkbench$cfgName$fdmTransferedElementsModifiable;Ändern von übertragenen Elementen möglich?
1;lbl$ffworkbench$cfgName$fdmOldElementVersionsDeletable;Löschen von alten Elementversionen erlauben?
1;lbl$ffworkbench$cfgName$fdmUpdateVersionOnCheckinDefault;Beim Öffnen des Einchecken-Dialogs den Haken bei 'Version hochzählen" setzen?
1;lbl$ffworkbench$cfgName$fdmPerformDeltaExport;Delta-Export bei Elementdaten-Änderungen durchführen?
1;lbl$ffworkbench$cfgName$fdmCheckUniqueElementFilenames;Eindeutigkeit der Element-Dateinamen prüfen?
1;lbl$ffworkbench$cfgName$fdmPacketUniqueFields;Paket-Eindeutigkeits Felder
1;lbl$ffworkbench$cfgName$fdmMaxPacketRows;Maximale Paket-Ergebniszeilen
1;lbl$ffworkbench$cfgName$fdmMaxElementRows;Maximale Element-Ergebniszeilen
1;lbl$ffworkbench$cfgName$fdmExternalViewer;Viewer
1;lbl$ffworkbench$cfgName$fdmViewerProgramPath;Pfad zum Programm
1;lbl$ffworkbench$cfgName$fdmViewerProgramWorkingDir;Arbeitsverzeichnis
1;lbl$ffworkbench$cfgName$fdmViewerProgramArguments;Aufrufparameter
1;lbl$ffworkbench$cfgName$fdmMaterialResolverMaterialTypeInternalCreated;Materialtyp interne Materialien
1;lbl$ffworkbench$cfgName$fdmMaterialResolverMaterialTypeExternalCreated;Materialtyp externe Materialien
1;lbl$ffworkbench$cfgName$fdmMaterialResolverResolveInExternalDatabase;Materialsuche in externer Datenbank?
1;lbl$ffworkbench$cfgName$fdmMaterialResolverExternalMaterialSQLStatement;SQL-Abfrage für externe Datenbank
1;lbl$ffworkbench$cfgDocumentation$fdmMaterialResolverExternalMaterialSQLStatement;Diese Datenbankabfrage wird ausgeführt, um das Material in der externen Datenbank zu suchen. Das Abfrageergebnis muss in erster Spalte die Materialnummer und in zweiter Spalte den Materialtext zurück liefern. Alle weiteren Spalten werden in die Benutzerfelder geschrieben. Es kann der Platzhalter %materialnumber% verwendet werden.
1;lbl$ffworkbench$cfgName$fdmEditorType;Feldtyp
1;lbl$ffworkbench$cfgName$fdmEditorTypeDisplayField;Anzeigefeld
1;lbl$ffworkbench$cfgName$fdmEditorTypeEditableField;Editierfeld
1;lbl$ffworkbench$cfgName$fdmFieldType;Datentyp
1;lbl$ffworkbench$cfgName$fdmFieldTypeString;Alphanumerisch
1;lbl$ffworkbench$cfgName$fdmFieldTypeLong;Zahl ohne Nachkommastellen
1;lbl$ffworkbench$cfgName$fdmFieldTypeDouble;Zahl mit Nachkommastellen
1;lbl$ffworkbench$cfgName$fdmFieldTypeDate;Datum
1;lbl$ffworkbench$cfgName$fdmFieldTypeDateTime;Datum mit Uhrzeit
1;lbl$ffworkbench$cfgName$fdmFieldInputRequired;Pflichtfeld?
1;lbl$ffworkbench$cfgName$fdmMinStringLength;Minimale Anzahl Zeichen (Alphanumerisches Feld)
1;lbl$ffworkbench$cfgName$fdmMaxStringLength;Maximale Anzahl Zeichen (Alphanumerisches Feld)
1;lbl$ffworkbench$cfgName$fdmMaxDatabaseLength;Feldlänge in Datenbank
1;lbl$ffworkbench$cfgName$fdmMinRangeValue;Minimaler Wert (Zahlen-Feld)
1;lbl$ffworkbench$cfgName$fdmMaxRangeValue;Maximaler Wert (Zahlen-Feld)
1;lbl$ffworkbench$cfgName$fdmRefreshDate;Automatische Datums-Aktualisierung (Datums Feld)?
1;lbl$ffworkbench$cfgName$fdmAllowedCharacters;Zulässige Zeichen (Alphanumerisches Feld)
1;lbl$ffworkbench$cfgName$DNCGeneral;Grundkonfiguration FF DNC
1;lbl$ffworkbench$cfgName$DNCGeneralTempFolder;Temporäres Verzeichnis
1;lbl$ffworkbench$cfgName$DNCGeneralIpAdress;IP-Adresse FF DNC
1;lbl$ffworkbench$cfgName$DNCGeneralDncPort;Port FF DNC
1;lbl$ffworkbench$cfgName$DNCGeneralJmxPort;Port für Monitoring
1;lbl$ffworkbench$cfgName$DNCGeneralNcTypes;DNC Typen
